,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,城市,總樓層數_數字
6,鹽埕區,房地(土地+建物),高雄市鹽埕區光榮街８５號四樓之２,10.79,都市：其他:第五種商業區,,,1100729,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,140.34,3,2,2,有,有,8500000,60567,,0.0,0,附家電家具,RPVOMLSKQHGGFAE78DA,90.67,11.05,0.0,有,,Kaohsiung,15
9,苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維四路２３９號二十樓之６,13.51,都市：其他:第五種住宅區,,,1100708,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900529,161.69,2,2,2,有,有,14200000,87817,坡道平面,26.48,0,,RPRNMLQJQHGGFBE08DA,87.88,11.33,0.0,有,4.0,Kaohsiung,24
31,前鎮區,房地(土地+建物)+車位,高雄市前鎮區英明路５巷１９號九樓,28.01,都市：其他:第四種住宅區,,,1100713,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020918,225.99,4,2,2,有,有,13980000,61861,坡道平面,48.8,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLSKQHGGFCE38DA,100.92,12.7,0.0,有,,Kaohsiung,15
37,三民區,房地(土地+建物),高雄市三民區興隆街８０號二十三樓,7.94,都市：其他:第四種商業區,,,1100705,土地1建物1車位0,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,117.16,3,2,2,有,有,5700000,48651,,0.0,0,,RPQNMLQJQHGGFDE18DA,76.24,9.08,0.0,有,,Kaohsiung,25
47,三民區,房地(土地+建物)+車位,高雄市三民區文揚街９９號十六樓,40.8,都市：其他:第四種住宅區,,,1100727,土地1建物1車位2,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020114,321.65999999999997,4,2,2,有,有,20000000,62177,坡道平面,60.16,0,,RPPQMLSKQHGGFDE68DA,149.51,18.5,0.0,有,14.0,Kaohsiung,20
51,三民區,房地(土地+建物),高雄市三民區大順二路１９７之１號十樓,5.47,都市：其他:第五種商業區,,,1100722,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940614,71.39,2,1,1,有,有,4320000,60513,,0.0,0,,RPVPMLTKQHGGFDE66DA,39.32,11.32,0.0,有,17.0,Kaohsiung,14
55,左營區,房地(土地+建物),高雄市左營區重惠街８２號二樓之１,11.94,都市：其他:第四種商業區,,,1100720,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,0910930,117.92,3,2,2,有,有,6450000,54698,,0.0,0,,RPVOMLPJQHGGFEE78DA,77.16,6.31,0.0,有,19.0,Kaohsiung,14
64,左營區,房地(土地+建物),高雄市左營區大中二路３５７號十三樓之２,10.56,都市：其他:第五種住宅區,,,1100731,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881020,138.56,4,2,2,有,有,5800000,41859,,0.0,0,,RPPNMLPKQHGGFEE18DA,92.58,14.85,0.0,有,,Kaohsiung,23
65,楠梓區,房地(土地+建物)+車位,高雄市楠梓區旗楠路８８５之１１號二樓,15.16,都市：其他:第二種特定商業專用區,,,1100802,土地2建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831014,147.19,3,2,2,有,有,4700000,31932,坡道平面,0.0,0,,RPTNMLRKQHGGFEE78DA,88.17,12.29,0.0,有,,Kaohsiung,17
75,岡山區,房地(土地+建物),高雄市岡山區公園西路三段１６３之１號十四樓,13.74,都市：其他:住宅區,,,1100714,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850220,117.94,3,2,2,有,有,3300000,27980,,0.0,0,,RPWNMLKLPHGGFFE48DA,80.55,9.83,0.0,有,,Kaohsiung,16
103,仁武區,房地(土地+建物),高雄市仁武區安樂三街６號,14.74,都市：其他:市場用地,,,1100720,土地1建物1車位0,一層，二層，騎樓,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,149.01,2,1,1,有,有,5150000,34561,,0.0,0,附家具家電,RPRNMLQJQHGGFIE78DA,111.83,0.0,0.0,有,,Kaohsiung,15
125,林園區,房地(土地+建物),高雄市林園區頂厝路１３０巷２２號七樓之１,10.45,都市：其他:商業區,,,1100809,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,113.42,3,2,2,有,有,2300000,20277,,0.0,0,,RPOOMLTKQHGGFLE66DA,79.39,12.23,0.0,有,42.0,Kaohsiung,13
135,鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山東路５８巷２號五樓之３,9.93,都市：其他:第三之一種住宅區,,,1100728,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860825,149.51,4,2,2,有,有,6200000,41469,升降平面,16.53,0,,RPTNMLTKQHGGFGE66EA,87.33,18.87,0.0,有,44.0,Kaohsiung,24
139,左營區,房地(土地+建物)+車位,高雄市左營區大中一路４０８號十三樓,14.6,都市：其他:第五種住宅區,,,1100711,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,184.32999999999998,4,2,2,有,有,7800000,43378,坡道平面,27.57,1000000,,RPPPMLKLQHGGFEE08EA,101.63,13.78,0.0,有,46.0,Kaohsiung,14
184,鳳山區,房地(土地+建物)+車位,高雄市鳳山區善美路１１號九樓,11.84,都市：其他:第三之一種住宅區,,,1100803,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,112.83,3,2,2,有,有,5000000,44314,坡道機械,8.91,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTKQHGGFGE66DA,67.84,13.05,0.0,有,,Kaohsiung,13
188,鳳山區,房地(土地+建物)+車位,高雄市鳳山區建國路三段３８３號二樓,9.18,都市：其他:第三之一種住宅區,,,1100723,土地1建物1車位1,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860607,126.13,3,2,2,有,有,5500000,43609,坡道機械,0.0,0,,RPPNMLTLPHGGFGE78DA,71.77,11.38,0.0,有,,Kaohsiung,23
193,鳳山區,房地(土地+建物)+車位,高雄市鳳山區新強路２２０巷１９號十一樓,17.01,都市：其他:第三之一種住宅區,,,1100717,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900610,152.88,3,2,2,有,有,7850000,51347,坡道機械,19.35,0,,RPPOMLRKPHGGFGE58DA,89.92,11.72,0.0,有,,Kaohsiung,14
223,左營區,房地(土地+建物)+車位,高雄市左營區新莊一路３８７號二十樓之３,15.6,都市：其他:第五種住宅區,,,1100505,土地1建物1車位1,二十層，二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,0890407,230.69,5,3,3,有,有,13800000,59821,坡道平面,29.9,0,,RPXOMLSKQHGGFEE76DA,128.67,19.42,0.0,有,60.0,Kaohsiung,26
233,左營區,房地(土地+建物)+車位,高雄市左營區文川路１６１號十三樓之１,16.37,都市：其他:第五種住宅區,,,1100728,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0880120,175.99,4,2,2,有,有,9500000,53980,坡道平面,17.62,0,,RPOQMLNKQHGGFEE18DA,114.08,10.06,0.0,有,,Kaohsiung,14
234,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路２３２號九樓,9.9,都市：其他:第五種住宅區,,,1100727,土地1建物1車位1,九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840817,151.81,3,2,2,有,有,7400000,48745,坡道機械,0.0,0,,RPTOMLMKQHGGFEE38DA,94.3,10.69,0.0,有,,Kaohsiung,28
236,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路２３０號十二樓,12.53,都市：其他:第五種住宅區,,,1100725,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840817,192.81,4,2,2,有,有,9700000,50309,坡道平面,0.0,1800000,,RPPNMLPLPHGGFEE18DA,114.07,16.32,0.0,有,,Kaohsiung,28
240,左營區,房地(土地+建物),高雄市左營區博愛三路８號四樓之３,13.0,都市：其他:第五種住宅區,,,1100723,土地1建物1車位0,四層，電梯樓梯間,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811111,218.92,4,2,2,有,有,10500000,47963,,0.0,0,,RPSNMLNJQHGGFEE18DA,162.49,31.46,0.0,有,,Kaohsiung,24
242,左營區,房地(土地+建物)+車位,高雄市左營區大中二路２７２號八樓,15.42,都市：其他:第五種住宅區,,,1100711,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960112,131.09,3,2,2,有,有,7000000,53398,坡道機械,11.24,0,,RPOOMLOJQHGGFEE97DA,71.06,10.98,0.0,有,,Kaohsiung,15
244,三民區,房地(土地+建物),高雄市三民區覺民路２８５巷２９號十一樓,10.2,都市：其他:第三種特定商業專用區,,,1100610,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,79.62,2,1,1,有,有,4500000,56518,,0.0,0,,RPUOMLTKQHGGFDE09DA,44.4,7.38,0.0,有,66.0,Kaohsiung,15
246,三民區,房地(土地+建物)+車位,高雄市三民區天祥二路３２號四樓,25.63,都市：其他:第五種住宅區,,,1100726,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,244.51999999999998,4,2,2,有,有,13000000,53165,坡道平面,23.23,0,,RPPNMLNKQHGGFDE87DA,123.93,19.52,0.0,有,,Kaohsiung,15
248,三民區,房地(土地+建物),高雄市三民區鼎富路６１號十樓,21.58,都市：其他:第四種住宅區,,,1100705,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890907,129.42000000000002,3,2,2,有,有,6600000,50997,,0.0,0,,RPXNMLKKQHGGFDE38DA,80.05,14.73,0.0,有,,Kaohsiung,14
249,三民區,房地(土地+建物)+車位,高雄市三民區澄清路７００號十樓,27.2,都市：其他:第四種住宅區,,,1100716,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010208,176.48000000000002,4,2,2,有,有,12080000,68450,坡道平面,23.45,0,,RPQOMLTKPHGGFDE58DA,91.79,9.82,0.0,有,68.0,Kaohsiung,15
262,苓雅區,房地(土地+建物),高雄市苓雅區光明街８９號八樓之５,5.69,都市：其他:第五種商業區,,,1100722,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960508,67.07,2,1,1,有,有,5800000,86477,,0.0,0,,RPVNMLTKQHGGFBE88DA,42.01,3.81,0.0,有,72.0,Kaohsiung,15
269,新興區,房地(土地+建物)+車位,高雄市新興區七賢一路２１６號５樓之１１,6.51,都市：其他:第五種商業區,,,1100717,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830302,97.55,2,1,1,有,有,5200000,53306,坡道平面,0.0,0,,RPQOMLPJQHGGFBE97DA,48.08,10.0,0.0,有,,Kaohsiung,13
270,苓雅區,房地(土地+建物),高雄市苓雅區新光路６２巷１８號２２樓之３,5.85,都市：其他:第三種特定商業專用區,,,1100712,土地1建物1車位0,二十二層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,137.62,3,2,2,有,有,5000000,36332,,0.0,0,,RPQNMLQLPHGGFBE08DA,90.15,12.18,0.0,有,74.0,Kaohsiung,35
274,鼓山區,房地(土地+建物),高雄市鼓山區文忠路９１號十樓,7.04,都市：其他:第四種商業區,,,1100717,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030925,75.51,2,2,1,有,有,6500000,86081,,0.0,0,,RPQOMLRKQHGGFAE18DA,44.53,3.22,0.0,有,75.0,Kaohsiung,15
275,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路８３號三樓,22.01,都市：其他:特定第五種住宅區,,,1100705,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020805,223.07,3,2,2,有,有,17200000,75379,坡道平面,18.77,1800000,,RPXOMLPJPHGGFAE48DA,119.97,19.52,0.0,有,76.0,Kaohsiung,24
279,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路１９８號十二樓之１,16.61,都市：其他:特定第五種住宅區,,,1100718,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930722,109.14,2,2,1,有,有,7600000,69635,坡道平面,26.4,0,,RPOSMLNJQHGGFAE87DA,51.15,7.0,0.0,有,,Kaohsiung,14
286,鼓山區,房地(土地+建物),高雄市鼓山區青海路８２號二樓之１,18.94,都市：其他:特定第五種住宅區,,,1100805,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,130.82999999999998,3,2,2,有,有,9300000,71085,,0.0,0,,RPPNMLNLQHGGFAE67DA,86.57,5.06,0.0,有,,Kaohsiung,14
306,三民區,房地(土地+建物),高雄市三民區大昌二路２６８號六樓之３７,3.96,都市：其他:第四種商業區,,,1100710,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,47.58,1,1,1,有,有,2100000,44136,,0.0,0,,RPPNMLNJQHGGFDE77DA,30.88,3.77,0.0,有,,Kaohsiung,14
307,三民區,房地(土地+建物)+車位,高雄市三民區大豐二路１１６之１５號二樓,14.02,都市：其他:第五種住宅區,,,1100717,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941202,126.9,3,2,2,有,有,8900000,63700,坡道機械,12.3,1600000,,RPSOMLMJQHGGFDE08DA,73.12,10.85,0.0,有,,Kaohsiung,15
309,三民區,房地(土地+建物)+車位,高雄市三民區建武路７６巷７弄１０之２號七樓,10.82,都市：其他:第四種商業區,,,1100630,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881014,119.46000000000001,3,2,2,有,有,6500000,54412,坡道機械,11.52,0,,RPXOMLTKQHGGFDE76DA,69.6,11.62,0.0,有,87.0,Kaohsiung,14
311,三民區,房地(土地+建物)+車位,高雄市三民區正忠路５３號五樓,24.99,都市：其他:第四種商業區,,,1100731,土地1建物1車位2,五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040906,403.28,4,2,3,有,有,20700000,51329,坡道平面,57.02,0,,RPPNMLTKQHGGFDE48DA,192.33,40.02,0.0,有,88.0,Kaohsiung,28
315,楠梓區,房地(土地+建物),高雄市楠梓區大學二十五路１２６號五樓,15.76,都市：其他:第三種住宅區。,,,1100728,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1030708,93.14,2,2,1,有,有,4850000,52072,,0.0,0,,RPTPMLKMPHGGFEE38DA,53.38,7.47,0.0,有,91.0,Kaohsiung,15
330,楠梓區,房地(土地+建物),高雄市楠梓區大學二十六街２７巷２３號十樓,11.34,都市：其他:第三種商業區,,,1100716,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1030509,112.21,2,2,2,有,有,6460000,57571,,0.0,0,買賣總價包含土地款335萬及建物款311萬元。,RPVPMLTKQHGGFEE76DA,64.2,8.96,0.0,有,98.0,Kaohsiung,15
361,岡山區,房地(土地+建物),高雄市岡山區岡山路５０８號四樓,9.21,都市：其他:住宅區,,,1100705,土地1建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841118,136.39000000000001,4,2,2,有,有,3180000,23315,,0.0,0,,RPRNMLKKQHGGFFE97DA,95.42,6.12,0.0,有,101.0,Kaohsiung,24
371,岡山區,房地(土地+建物)+車位,高雄市岡山區岡山路８９巷２號三樓,33.4,都市：其他:住宅區,,,1100725,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,167.93,3,2,2,有,有,7000000,41684,坡道平面,0.0,0,,RPTOMLKMPHGGFFE38DA,91.85,13.25,0.0,有,,Kaohsiung,13
386,鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳南路１８之１號十二樓,9.68,都市：其他:第三之一種住宅區,,,1100718,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,119.47,3,2,2,有,有,5300000,44363,坡道機械,0.0,0,,RPPNMLPJQHGGFGE28DA,69.64,8.63,0.0,有,,Kaohsiung,18
425,大寮區,房地(土地+建物)+車位,高雄市大寮區長泰街８號十一樓,17.13,都市：其他:商業區,,,1100518,土地3建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880305,161.05,4,2,2,有,有,4200000,26079,坡道平面,24.09,0,,RPPNMLKLQHGGFLE48DA,86.95,15.89,0.0,有,,Kaohsiung,14
428,前鎮區,房地(土地+建物),高雄市前鎮區中華五路１００７巷２０號,24.21,都市：其他:特定第五種住宅區,,,1100717,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910619,142.26999999999998,3,2,2,有,有,8000000,56231,,0.0,0,,RPXNMLNLQHGGFCE78EA,87.71,12.48,0.0,有,,Kaohsiung,14
431,林園區,房地(土地+建物)+車位,高雄市林園區王公路１００巷１４弄２２號十樓,11.46,都市：其他:道路用地,,,1100729,土地3建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840501,111.06,2,2,1,有,有,2780000,25032,坡道機械,0.0,0,,RPRNMLNLQHGGFLE98DA,66.86,10.13,0.0,有,,Kaohsiung,13
437,大寮區,房地(土地+建物),高雄市大寮區成功路１１６巷４３號八樓,9.6,都市：其他:住宅區,,,1100728,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830621,79.04,2,1,1,有,有,2400000,30364,,0.0,0,現狀交屋親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNLQHGGFLE96EA,56.12,4.73,0.0,有,,Kaohsiung,17
443,楠梓區,房地(土地+建物),高雄市楠梓區藍田路６１８號四樓,9.16,都市：其他:第三種商業區,,,1100711,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991221,78.75999999999999,2,2,1,有,有,4200000,53327,,0.0,0,,RPOPMLOLQHGGFEE38EA,47.29,7.76,0.0,有,111.0,Kaohsiung,14
444,左營區,房地(土地+建物)+車位,高雄市左營區明華一路１５８號十樓之２,9.61,都市：其他:第四種商業區,,,1100718,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808,126.24000000000001,3,2,2,有,有,10100000,80006,坡道機械,6.88,0,陽台外推；,RPRPMLOLQHGGFEE68EA,60.51,17.53,0.0,有,112.0,Kaohsiung,15
445,左營區,房地(土地+建物)+車位,高雄市左營區重化街５１號,16.96,都市：其他:第四種商業區,,,1100715,土地1建物1車位1,一層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,168.37,3,2,2,有,有,13800000,82091,坡道機械,10.01,800000,其他增建；,RPSPMLOLQHGGFEE78EA,107.39,7.44,0.0,有,,Kaohsiung,14
487,鳳山區,房地(土地+建物),高雄市鳳山區八德路１６９號七樓,15.95,都市：其他:第三之一種住宅區,,,1100719,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,126.55,4,2,2,有,有,5650000,44646,,0.0,0,,RPOOMLLKQHGGFGE97DA,86.63,17.28,0.0,有,,Kaohsiung,13
502,左營區,房地(土地+建物)+車位,高雄市左營區博愛四路２８２號二十一樓之２,15.96,都市：其他:第五種住宅區,,,1100715,土地1建物1車位1,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981202,228.72000000000003,3,2,2,有,有,17500000,77283,坡道平面,21.69,1500000,室內格局有裝璜變動,RPSOMLNLQHGGFEE48DA,122.14,22.41,0.0,有,,Kaohsiung,26
510,左營區,房地(土地+建物)+車位,高雄市左營區立大路１８１號三樓之１,15.33,都市：其他:第三種商業區,,,1100714,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030227,182.59,4,2,2,有,有,12750000,69829,坡道機械,6.54,0,,RPVNMLKLQHGGFEE38DA,100.19,18.97,0.0,有,132.0,Kaohsiung,15
515,左營區,房地(土地+建物)+車位,高雄市左營區嘉慶街５０號十樓,16.66,都市：其他:第二種特定商業專用區,,,1100725,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土結構造,0900920,137.21,3,2,2,有,有,9600000,69966,坡道平面,23.78,0,,RPRNMLKKQHGGFEE87DA,67.87,12.05,0.0,有,135.0,Kaohsiung,14
517,左營區,房地(土地+建物)+車位,高雄市左營區明誠二路２６１巷２６號十樓,21.24,都市：其他:第四種住宅區,,,1100604,土地1建物1車位1,十層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830601,181.01999999999998,3,2,2,有,有,11000000,60767,坡道平面,0.0,0,,RPUOMLMKPHGGFEE38DA,118.18,9.39,0.0,有,136.0,Kaohsiung,15
518,左營區,房地(土地+建物)+車位,高雄市左營區重愛路５５號十四樓之２,11.68,都市：其他:第四種住宅區,,,1100711,土地1建物1車位1,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850921,142.5,3,2,2,有,有,7380000,51789,坡道平面,0.0,0,,RPUNMLLLPHGGFEE28DA,80.17,13.36,0.0,有,,Kaohsiung,20
526,三民區,房地(土地+建物),高雄市三民區民族一路５２３號九樓,12.56,都市：其他:第五種住宅區,,,1100709,土地1建物1車位0,九層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880209,170.82,4,2,2,有,有,7350000,43028,,0.0,0,,RPSNMLNLQHGGFDE28DA,112.99,15.53,0.0,有,,Kaohsiung,29
562,前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路２１０號二十四樓,20.23,都市：其他:第五種商業區,,,1100623,土地1建物1車位2,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030715,372.08000000000004,3,2,3,有,有,32000000,95927,坡道平面,80.19,4000000,,RPVNMLOJQHGGFCE38DA,183.23,23.6,0.0,有,144.0,Kaohsiung,29
576,苓雅區,房地(土地+建物)+車位,高雄市苓雅區新田路３７６號五樓,26.48,都市：其他:第五種商業區,,,1100725,土地2建物1車位2,五層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1020916,496.71,0,0,0,無,有,38600000,77711,坡道平面,38.28,0,,RPXNMLMJQHGGFBE28DA,247.11,48.21,0.0,有,148.0,Kaohsiung,41
577,苓雅區,房地(土地+建物),高雄市苓雅區武廟路９５號六樓之１,8.12,都市：其他:第四種商業區,,,1100718,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030127,86.67,3,1,1,有,有,6500000,74997,,0.0,0,,RPPNMLSKPHGGFBE08DA,48.97,6.2,0.0,有,149.0,Kaohsiung,13
580,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街１８０號十一樓,18.18,都市：其他:第三種特定商業專用區,,,1100715,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941129,153.43,3,2,2,有,有,11400000,74301,坡道平面,23.73,0,,RPROMLNLQHGGFAE97DA,74.5,16.2,0.0,有,,Kaohsiung,15
590,鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路３７９號八樓,20.66,都市：其他:第四種商業區,,,1100801,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940825,191.44,3,2,2,有,有,16380000,85562,坡道平面,30.1,0,,RPTNMLKKQHGGFAE67DA,105.24,10.14,0.0,有,,Kaohsiung,15
591,鼓山區,房地(土地+建物),高雄市鼓山區美術南三路７５號六樓,14.11,都市：其他:特定第五種住宅區,,,1100724,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921111,116.65,3,2,2,有,有,8100000,69438,,0.0,0,,RPUNMLKKQHGGFAE77DA,72.96,9.05,0.0,有,152.0,Kaohsiung,14
592,鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路３３７號十樓,12.03,都市：其他:第四種商業區,,,1100731,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950203,128.99,3,2,2,有,有,10550000,81789,坡道機械,8.41,0,,RPROOLNJQHGGFAE97DA,79.54,7.4,0.0,有,,Kaohsiung,14
593,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街１１６號八樓,26.62,都市：其他:特定第五種住宅區,,,1100724,土地1建物1車位2,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1030508,332.96,0,0,0,無,有,20000000,60067,坡道平面,53.08,0,毛胚屋；,RPPRMLNJQHGGFAE87DA,159.52,25.37,0.0,有,153.0,Kaohsiung,21
595,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路４１８號十樓,52.17,都市：其他:特定第五種住宅區,,,1100715,土地1建物1車位2,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040507,464.40000000000003,4,2,3,有,有,51900000,120926,坡道平面,60.02,3000000,含裝潢費；,RPQNMLTJQHGGFAE18DA,211.06,51.23,0.0,有,,Kaohsiung,22
596,鼓山區,房地(土地+建物)+車位,高雄市鼓山區神農路１６７號八樓,25.62,都市：其他:第四種商業區,,,1100730,土地1建物2車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970826,310.88,5,2,3,有,有,21500000,69159,坡道平面,19.6,0,,RPWNMLQJQHGGFAE48DA,176.37,30.17,0.0,有,,Kaohsiung,24
602,鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路８２號十四樓,25.1,都市：其他:特定第五種住宅區,,,1100714,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,173.87,4,2,2,有,有,12000000,69017,坡道平面,19.64,0,,RPSNMLOLQHGGFAE08DA,95.1,12.9,0.0,有,,Kaohsiung,14
610,新興區,房地(土地+建物)+車位,高雄市新興區七賢二路３９號八樓之５,6.07,都市：其他:第五種商業區,,,1100812,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,92.34,2,1,1,有,有,7430000,80464,坡道機械,5.77,0,,RPPPMLMKQHGGFBE77DA,50.27,6.0,0.0,有,157.0,Kaohsiung,15
