,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,城市,總樓層數_數字
1556,淡水區,房地(土地+建物)+車位,新北市淡水區中山北路三段５３號十樓,17.21,都市：其他:第五種住宅區,,,1100724,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020909,122.44,2,1,1,有,有,7100000,57988,坡道平面,37.77,0,,RPPNMLKMQHGGFEF08EA,51.89,7.3,0.0,有,,Newtaipei,15
1558,淡水區,房地(土地+建物)+車位,新北市淡水區淡金路二段３９３號六樓,21.66,都市：其他:第五種住宅區,,,1100805,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980817,153.89,3,2,2,有,有,9300000,60433,坡道平面,29.98,0,,RPTNMLKMQHGGFEF48EA,75.36,13.96,0.0,有,,Newtaipei,15
1560,淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段１４８巷５０弄５０號九樓,39.85,都市：其他:第二種住宅區,,,1100725,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051025,151.99,3,2,2,有,有,10200000,69544,坡道平面,26.17,1450000,,RPPQMLKMQHGGFEF38EA,74.6,10.17,0.0,有,,Newtaipei,13
1561,淡水區,房地(土地+建物)+車位,新北市淡水區新市一路二段２６６號三樓,18.95,都市：其他:第五種住宅區,,,1100727,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960910,118.73,3,2,2,有,有,7450000,62747,坡道平面,0.0,0,,RPRQMLKMQHGGFEF58EA,56.52,12.85,0.0,有,,Newtaipei,13
1563,淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段１３號十五樓,27.4,都市：其他:第三種住宅區。,,,1100731,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040430,158.44,3,2,2,有,有,10800000,68165,坡道平面,31.66,0,,RPQNMLQLQHGGFEF68EA,75.78,10.87,0.0,有,,Newtaipei,15
1564,三重區,房地(土地+建物),新北市三重區重新路一段１３６號十五樓,2.61,都市：其他:捷運系統用地,,,1100731,土地1建物1車位0,十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,46.199999999999996,2,1,1,有,有,7610000,164719,,0.0,0,,RPPNMLRLQHGGFGF88EA,28.57,4.05,0.0,有,,Newtaipei,27
1568,中和區,房地(土地+建物),新北市中和區中興街２０６號四樓之七,12.41,都市：其他:住宅區,,,1100804,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,100.72,3,2,1,有,有,13200000,131056,,0.0,0,其他增建；,RPRRMLRLQHGGFHF96EA,62.3,6.86,0.0,有,,Newtaipei,15
1572,三峽區,房地(土地+建物),新北市三峽區國光街１６１號十一樓,23.9,都市：其他:住宅區,,,1100730,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970131,126.75,3,2,2,有,有,12250000,96647,,0.0,0,有一機車位。,RPVOMLRLQHGGFIF17EA,79.36,11.37,0.0,有,,Newtaipei,14
2,桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段１８１巷２號十四樓之八,35.07,都市：其他:住宅區,,,1100718,土地1建物1車位1,十四層，十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,238.0,4,2,2,有,有,13750000,57773,坡道平面,0.0,0,,RPQPMLKMPHGGFAH97DA,142.69,13.36,0.0,有,,Taoyuan,16
3,桃園區,房地(土地+建物)+車位,桃園市桃園區大有路４５８之９號十樓,23.9,都市：其他:住宅區,,,1100805,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030610,195.61,3,2,2,有,有,12680000,64823,坡道平面,74.94,0,陽台外推；,RPPONLTJQHGGFAH58DA,72.49,11.01,0.0,有,2.0,Taoyuan,13
7,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路５２號十一樓,18.72,都市：其他:商業區,,,1100731,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,178.76,3,2,2,有,有,14610000,85094,坡道平面,28.22,1800000,,RPVRMLLKQHGGFAH68DA,93.14,9.47,0.0,有,,Taoyuan,15
8,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十一樓,16.7,都市：其他:商業區,,,1100802,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13080000,84679,坡道平面,28.22,1700000,,RPWRMLLKQHGGFAH78DA,80.28,11.29,0.0,有,,Taoyuan,15
12,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十二樓,16.7,都市：其他:商業區,,,1100721,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13100000,84828,坡道平面,28.22,1700000,,RPWPMLMKQHGGFAH68DA,80.28,11.29,0.0,有,,Taoyuan,15
13,桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路６２號十四樓,16.7,都市：其他:商業區,,,1100730,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,13850000,90409,坡道平面,28.22,1700000,含裝潢費；,RPTNMLQKQHGGFAH58DA,80.28,11.29,0.0,有,,Taoyuan,15
15,桃園區,房地(土地+建物),桃園市桃園區春日路１１５５號四樓之７,5.06,都市：其他:住宅區,,,1100804,土地3建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840808,40.49,1,1,1,有,有,2450000,60509,,0.0,0,,RPXOMLRKQHGGFAH56DA,28.27,0.0,0.0,有,5.0,Taoyuan,20
16,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２號十三樓,20.16,都市：其他:住宅區,,,1100317,土地3建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,173.26,3,2,2,有,有,13360000,86218,坡道平面,50.78,2800000,,RPOPMLRKQHGGFAH38DA,72.29,9.11,0.0,有,,Taoyuan,15
17,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２０號十樓,15.76,都市：其他:住宅區,,,1090930,土地3建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,119.32,2,2,2,有,有,8960000,78807,坡道平面,23.39,1400000,,RPQPMLRKQHGGFAH58DA,59.34,4.43,0.0,有,,Taoyuan,15
18,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄１８號三樓,15.72,都市：其他:住宅區,,,1100125,土地3建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,121.21,2,2,2,有,有,9180000,79107,坡道平面,25.39,1600000,,RPRPMLRKQHGGFAH68DA,59.2,4.46,0.0,有,,Taoyuan,15
19,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２８號六樓,20.08,都市：其他:住宅區,,,1091017,土地3建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,147.87,3,2,2,有,有,10860000,75604,坡道平面,25.39,1600000,,RPTPMLRKQHGGFAH88DA,72.29,9.11,0.0,有,,Taoyuan,15
20,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄１６號七樓,18.99,都市：其他:住宅區,,,1100507,土地3建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,166.22,3,2,2,有,有,11450000,79262,坡道平面,50.78,2300000,,RPRQMLRKQHGGFAH78DA,70.76,5.91,0.0,有,,Taoyuan,15
